employee_name,user_id,O,C,E,A,N,personality_average
Rose Hanae Yates,RHY0079,20,19,14,21,26,20.0
Chiquita Linda Stokes,CLS0296,27,16,25,18,33,23.8
Julian Samson Allen,JSA0775,50,46,42,19,33,38.0
Rina Denise Mcgee,RDM0115,42,17,39,15,30,28.6
Joel Kennan Mccarty,JKM0303,46,10,44,15,35,30.0
Irene Jemima Meyers,IJM0139,45,17,15,30,35,28.4
September Vielka Livingston,SVL0940,15,42,26,15,34,26.4
Lacota Dahlia Good,LDG0459,20,41,10,50,34,31.0
Raymond Otto Bond,ROB0272,39,45,23,41,34,36.4
Lamar Nissim Strickland,LNS0989,34,38,45,30,31,35.6
Charissa Nyssa Mcgee,CNM0800,32,11,40,38,24,29.0
Halla Germaine Nolan,HGN0287,45,30,18,18,27,27.6
Kay Maxine Skinner,KMS0657,17,31,21,17,29,23.0
Beverly Melissa Garner,BMG0917,43,36,41,23,34,35.4
Hollee Vanna Becker,HVB0037,17,42,41,44,26,34.0
Phelan Nissim Howell,PNH0761,36,49,27,32,30,34.8
Jackson Linus Wilkerson,JLW0053,42,41,18,38,31,34.0
Justine Nola Adkins,JNA0559,10,10,41,10,31,20.4
Orla Yolanda Middleton,OYM0026,23,26,18,36,28,26.2
Naida Imelda Hughes,NIH0969,43,25,43,22,22,31.0
Rogan Chandler Coffey,RCC0617,33,50,13,12,27,27.0
Grady Jordan Duran,GJD0298,43,39,12,40,27,32.2
Marcia Lillian Lynn,MLL0598,44,17,23,49,29,32.4
Daria Samantha Mcbride,DSM0591,20,35,18,43,35,30.2
Bernard Tobias Landry,BTL0226,36,44,37,38,31,37.2
Selma Barbara Nicholson,SBN0971,41,40,17,47,30,35.0
Camilla Claire Whitehead,CCW0524,40,25,20,21,25,26.2
Ira Wyatt Moss,IWM0816,35,42,50,44,28,39.8
John Omar Lancaster,JOL0024,50,40,24,21,29,32.8
Ella Nita Lewis,ENL0100,39,18,42,35,21,31.0
Talon Ian Ware,TIW0299,34,19,19,12,31,23.0
Zachery Samson Kerr,ZSK0258,38,35,21,37,25,31.2
Chaim Grant Fernandez,CGF0337,32,30,43,15,31,30.2
Erich Harding Bryant,EHB0420,45,42,38,17,20,32.4
Rhona Germane Nelson,RGN0408,11,21,22,22,32,21.6
Frances Hermione Owens,FHO0630,28,44,23,12,26,26.6
Jescie Kristen Jenkins,JKJ0698,16,38,16,22,28,24.0
Shana Callie Ferguson,SCF0608,35,18,42,42,36,34.6
Blythe Veda Cooke,BVC0790,24,18,18,36,38,26.8
Noel Reagan Foster,NRF0137,10,49,38,17,32,29.2
Hashim Damon Dudley,HDD0789,44,39,30,10,29,30.4
Irma Eugenia Booker,IEB0153,44,25,39,24,36,33.6
Idola Carly Haley,ICH0294,32,27,20,40,26,29.0
Zena Sigourney Langley,ZSL0305,21,26,18,41,32,27.6
Ann Jolie Potts,AJP0723,24,29,17,12,29,22.2
Galena Deborah Francis,GDF0704,25,13,21,29,36,24.8
Thor Jameson Diaz,TJD0996,34,22,42,16,32,29.2
Ocean Maite Summers,OMS0101,20,12,21,22,29,20.8
Bevis Christopher Mcknight,BCM0653,45,34,41,18,31,33.8
Brett Damian Beck,BDB0453,41,42,27,41,26,35.4
Nash Conan Knight,NCK0421,40,41,18,43,24,33.2
Lunea Priscilla Hardy,LPH0572,40,13,17,38,36,28.8
Meredith Florence Valdez,MFV0897,18,13,23,25,33,22.4
Myles August Heath,MAH0149,41,39,38,27,40,37.0
Ella Cassandra Rivera,ECR0822,16,19,17,23,29,20.8
Preston Odysseus Bryan,POB0343,46,19,44,27,34,34.0
Iris Rhea Terrell,IRT0491,17,30,27,41,32,29.4
Halla Kendall Irwin,HKI0171,31,17,30,45,27,30.0
Deanna Imelda Blanchard,DIB0285,13,45,17,50,29,30.8
Imani Aubrey Ray,IAR0694,12,17,44,40,34,29.4
Cora Maisie Mclean,CMM0487,39,22,42,40,30,34.6
Leslie Cassandra Colon,LCC0819,32,14,11,15,27,19.8
Armand Gabriel Brewer,AGB0643,32,39,20,44,27,32.4
Portia Illana David,PID0426,43,19,39,44,23,33.6
Hadley Leandra May,HLM0933,36,24,23,43,30,31.2
Keaton Ronan Leonard,KRL0062,37,16,17,20,33,24.6
Meghan Phoebe Macias,MPM0220,35,20,42,22,20,27.8
Jonah Dakota Bird,JDB0169,20,14,23,48,33,27.6
Amal Alexander Shelton,AAS0442,36,43,22,22,31,30.8
Zorita Jaime Spears,ZJS0269,30,34,16,35,27,28.4
Cleo Jeanette Morales,CJM0521,13,18,37,18,24,22.0
Morgan Deborah Hoover,MDH0580,41,37,18,40,31,33.4
Jackson Rafael Sutton,JRS0362,50,50,14,37,24,35.0
Wynne Xyla Hartman,WXH0872,17,20,19,21,25,20.4
Montana Hannah Arnold,MHA0798,11,27,17,22,40,23.4
Jane Zia Day,JZD0888,20,20,30,14,30,22.8
Hedwig Dai Duffy,HDD0806,47,28,36,19,38,33.6
Bruce Sawyer Barrera,BSB0990,34,44,13,43,37,34.2
Amy Lucy Chen,ALC0788,34,18,15,36,35,27.6
Jonas Connor Riddle,JCR0921,47,46,31,40,34,39.6
Rogan Reuben Alexander,RRA0938,35,36,21,38,29,31.8
Seth Harlan Walls,SHW0578,39,42,14,49,31,35.0
Gil Calvin Lindsay,GCL0016,45,32,20,24,34,31.0
Garrett Omar Kelly,GOK0238,33,43,27,40,33,35.2
Buckminster Connor Bush,BCB0679,46,36,39,31,31,36.6
Ivor Herrod Kaufman,IHK0841,35,23,41,28,29,31.2
Sawyer Arden Puckett,SAP0867,13,25,43,19,30,26.0
Alma Leila Duncan,ALD0529,35,21,19,21,27,24.6
Kenyon Raja Galloway,KRG0158,34,38,42,14,27,31.0
Teegan Jillian Burris,TJB0302,42,47,24,40,29,36.4
Ivan Levi Craig,ILC0838,40,36,42,16,33,33.4
Renee Ivana Hayden,RIH0777,26,44,19,16,27,26.4
Hermione Casey Witt,HCW0419,40,21,35,34,35,33.0
Demetrius Alvin Levy,DAL0673,39,35,46,41,36,39.4
Roth Mannix Simon,RMS0266,33,40,25,23,37,31.6
Kibo Dolan Turner,KDT0346,36,41,10,22,33,28.4
Kay Alexa Logan,KAL0395,13,24,22,28,29,23.2
Abdul Ralph Deleon,ARD0509,50,40,35,32,32,37.8
Blair Todd Long,BTL0722,39,41,36,17,49,36.4
Whilemina Pandora England,WPE0538,21,16,23,22,35,23.4
Candice Lunea Fischer,CLF0852,36,45,28,18,26,30.6
Honorato Joseph Adkins,HJA0018,39,43,47,37,32,39.6
Mariko Ivana Mckee,MIM0712,16,15,39,23,22,23.0
Casey Edward Joyce,CEJ0109,21,46,17,17,32,26.6
Jeanette Cally Whitfield,JCW0858,14,35,22,41,39,30.2
Daria Felicia Rowland,DFR0218,45,14,22,37,27,29.0
Byron Armand Livingston,BAL0044,14,41,26,44,30,31.0
Ashely Sarah Shields,ASS0206,12,18,20,28,30,21.6
Isaiah Upton Buchanan,IUB0565,44,39,35,22,30,34.0
Alec Scott Goff,ASG0048,41,36,19,24,37,31.4
Tyler Eden Talley,TET0621,30,37,44,32,27,34.0
Alexander Rafael Arnold,ARA0252,39,39,27,21,35,32.2
Axel Malik Rosa,AMR0318,45,50,17,25,21,31.6
William Trevor Fuentes,WTF0387,40,23,40,25,24,30.4
Akeem Jerry Lopez,AJL0462,16,24,44,31,28,28.6
Skyler Deborah Frazier,SDF0017,11,40,39,18,30,27.6
Raven Deirdre Morrison,RDM0150,39,15,37,26,30,29.4
Hiroko Kiona Faulkner,HKF0831,23,42,49,21,24,31.8
Dustin Gage Franco,DGF0443,39,44,18,28,33,32.4
Cora Aurora Buckner,CAB0614,17,38,22,12,34,24.6
Devin Brett Guzman,DBG0261,45,47,17,36,28,34.6
Zeph Dakota Wilkerson,ZDW0859,39,45,26,41,32,36.6
Ulric Colt Holt,UCH0519,33,40,20,47,28,33.6
Caesar Allen Cash,CAC0889,46,49,32,41,27,39.0
Ezra Hilel Dyer,EHD0584,38,40,42,43,22,37.0
Oscar Laith Berger,OLB0749,43,35,20,39,36,34.6
Brock William Hunter,BWH0813,36,36,33,20,30,31.0
Dorothy Marny Goff,DMG0358,19,39,14,25,29,25.2
Magee Ashton Evans,MAE0331,36,39,18,12,28,26.6
Ainsley MacKensie Doyle,AMD0077,23,19,12,25,25,20.8
Xanthus Louis Buck,XLB0710,46,38,39,36,20,35.8
Deirdre Amaya Garcia,DAG0558,20,16,37,25,26,24.8
Whilemina Liberty Velez,WLV0566,10,19,38,24,39,26.0
Eugenia Hannah Blanchard,EHB0824,46,39,22,44,31,36.4
Fuller Baker Warner,FBW0747,43,45,35,25,28,35.2
Stuart Nicolas Cervantes,SNC0187,40,41,42,30,27,36.0
Ira Brendan Ball,IBB0359,48,33,21,43,38,36.6
Ramona Alma Moses,RAM0447,35,12,23,45,39,30.8
Alden Jesse Day,AJD0074,19,37,45,22,34,31.4
Megan Simone Hess,MSH0040,41,11,44,27,31,30.8
Quyn Jolie Rosario,QJR0688,19,18,22,26,35,24.0
Hilel Tobias Flynn,HTF0641,38,24,18,22,28,26.0
Rosalyn Daphne Tillman,RDT0424,38,44,19,34,28,32.6
Xenos Rudyard Small,XRS0633,34,39,39,40,23,35.0
Risa Lana Guthrie,RLG0856,18,36,42,18,26,28.0
Meredith Lunea Delaney,MLD0755,24,18,19,43,37,28.2
Mariko Olga Snyder,MOS0047,49,39,24,34,23,33.8
Emerson Tyrone Rojas,ETR0177,18,15,41,26,39,27.8
Ruth Yael Burris,RYB0718,19,18,42,13,21,22.6
August Armando Evans,AAE0190,36,30,14,50,29,31.8
Nicolas Alvin Fitzpatrick,NAF0033,34,40,19,35,29,31.4
Deborah Victoria Mcclure,DVM0265,47,40,10,24,31,30.4
Jolene Frances Carey,JFC0757,31,21,38,36,38,32.8
Azalia Orli Beach,AOB0019,11,17,13,24,28,18.6
Anika Isabella Pennington,AIP0394,17,16,38,14,26,22.2
Jin Jonathan Buckley,JJB0127,26,21,38,30,32,29.4
Mallory Carol Spence,MCS0035,42,17,38,15,33,29.0
Alec Boris Chase,ABC0253,21,15,41,30,28,27.0
Tasha Quail Sanchez,TQS0212,14,42,45,20,27,29.6
Roanna Sacha Monroe,RSM0277,37,38,20,50,22,33.4
Jeanette Eliana Rivera,JER0404,38,46,18,16,30,29.6
Chastity Ima Gibson,CIG0052,17,45,17,16,24,23.8
Igor Ishmael Ward,IIW0249,39,36,43,38,28,36.8
Hector Vance Foster,HVF0067,44,35,22,43,41,37.0
Hayes William Wheeler,HWW0436,45,37,23,27,33,33.0
Plato Ethan Valdez,PEV0323,47,34,40,22,29,34.4
Pearl Georgia Owen,PGO0433,44,40,19,46,35,36.8
Mallory Virginia Bender,MVB0515,38,14,33,31,28,28.8
Timon Jacob Gay,TJG0582,42,50,18,15,29,30.8
Sasha Rina Huffman,SRH0155,34,14,37,45,28,31.6
Ian Jonas Morrow,IJM0444,36,35,39,35,26,34.2
Colt Ishmael Mccall,CIM0271,24,27,10,20,38,23.8
Cameron Shay Lester,CSL0949,36,20,18,25,28,25.4
Anthony Aidan Nixon,AAN0823,24,16,45,24,28,27.4
Jonathan Gary Terry,JGT0221,45,30,16,40,18,29.8
Adam Kendall Harrell,AKH0758,24,38,40,37,27,33.2
Harrison Samuel Gonzales,HSG0818,18,19,48,36,31,30.4
Mercedes Ina Landry,MIL0255,38,16,39,21,27,28.2
Jared Geoffrey Morin,JGM0934,30,22,41,22,31,29.2
Kermit Coby Oliver,KCO0122,30,32,26,38,33,31.8
Scott Gary Burks,SGB0140,50,45,40,16,24,35.0
Nichole Azalia Frye,NAF0326,33,15,25,20,30,24.6
Igor Ulric Yang,IUY0279,38,38,17,21,29,28.6
Eve Isadora Mckenzie,EIM0156,19,31,43,45,33,34.2
Alan Benjamin Holder,ABH0663,47,49,41,11,34,36.4
Eagan Zephania Talley,EZT0640,12,15,27,39,27,24.0
Beatrice Alexis Kidd,BAK0964,25,16,22,18,28,21.8
Jack Carlos Cannon,JCC0225,47,45,40,15,18,33.0
Erich Malik Wolf,EMW0105,35,40,17,41,34,33.4
Kasper Lance Huffman,KLH0596,30,10,35,12,29,23.2
Shea Jane Franks,SJF0094,35,19,16,44,30,28.8
Charity Stacey Jennings,CSJ0340,45,24,19,38,25,30.2
Rae Melissa Wilson,RMW0542,17,21,20,13,41,22.4
Jorden Helen Pierce,JHP0583,37,25,40,42,37,36.2
Hollee Shannon Dudley,HSD0457,38,19,20,42,27,29.2
Yasir Wade Wilcox,YWW0660,39,35,37,10,36,31.4
Prescott Giacomo Conley,PGC0066,32,39,28,43,26,33.6
Medge Serina Obrien,MSO0222,32,12,39,46,28,31.4
Wang Dean Vasquez,WDV0573,48,36,13,31,33,32.2
Quail Rana Mclean,QRM0739,33,11,26,29,30,25.8
Alfreda Sierra Savage,ASS0517,36,35,47,44,32,38.8
Leonard Uriel Ramos,LUR0896,15,11,47,43,28,28.8
Eve Shaeleigh Holman,ESH0283,44,30,35,18,31,31.6
Whoopi Britanney Camacho,WBC0192,47,36,39,39,27,37.6
Penelope Lysandra Hayes,PLH0715,42,37,19,37,29,32.8
Vivian Sarah Arnold,VSA0230,47,15,25,14,29,26.0
Kermit Jonas Gould,KJG0910,37,10,31,18,29,25.0
Deborah Barbara White,DBW0483,17,16,25,21,37,23.2
Kyla Blythe Carter,KBC0054,42,43,17,41,32,35.0
Cathleen Samantha Craig,CSC0217,40,15,30,38,28,30.2
Burke Rooney Stafford,BRS0734,32,39,47,10,30,31.6
Keane Nicholas Blevins,KNB0022,22,38,45,16,30,30.2
Paula Isabelle Santiago,PIS0522,44,26,48,40,35,38.6
Aretha Dorothy Deleon,ADD0846,18,19,25,12,35,21.8
Martin Armand Douglas,MAD0496,34,30,40,42,24,34.0
Nicholas Kato Pennington,NKP0236,45,41,19,40,31,35.2
Valentine Lucian Benjamin,VLB0647,48,40,42,47,24,40.2
Dai Keely Bullock,DKB0631,34,18,14,46,31,28.6
Kylie Elizabeth Santos,KES0729,20,10,24,45,31,26.0
Isadora Buffy Brewer,IBB0696,47,13,36,16,33,29.0
Bethany Lydia Lyons,BLL0929,44,49,10,41,39,36.6
Allegra Bree Coffey,ABC0174,15,41,34,13,32,27.0
Hector Abraham Hayes,HAH0248,33,43,22,18,29,29.0
Nyssa Britanney Carver,NBC0412,14,25,18,18,31,21.2
Cade Rajah Patterson,CRP0456,37,41,28,43,30,35.8
Josephine Indira Garza,JIG0128,25,45,35,18,27,30.0
Ivor Jelani Robbins,IJR0825,38,42,39,46,32,39.4
Xander Walter Doyle,XWD0923,16,38,45,20,31,30.0
Leslie Denise Dillon,LDD0560,25,43,39,26,35,33.6
Elaine Sonya Hughes,ESH0135,35,22,32,44,28,32.2
Risa Hillary Obrien,RHO0732,20,10,21,19,34,20.8
Dennis Gray Wilson,DGW0752,40,46,20,40,14,32.0
Hillary Piper Riddle,HPR0585,34,46,15,46,35,35.2
Teagan Briar Townsend,TBT0461,43,42,13,30,28,31.2
Sonia Anne Kirkland,SAK0375,16,20,27,16,31,22.0
Blaze Jakeem Hahn,BJH0811,48,39,44,14,40,37.0
Thomas Vladimir Stokes,TVS0006,43,43,37,20,41,36.8
Frances Alisa Wiggins,FAW0032,43,24,17,37,37,31.6
Wanda Samantha Rogers,WSR0241,35,27,15,25,29,26.2
Lilah Renee Wagner,LRW0970,10,26,39,22,28,25.0
Zachary Myles Cardenas,ZMC0284,42,33,41,30,31,35.4
Samantha Audrey Curtis,SAC0687,20,49,37,19,22,29.4
Cathleen Kelsey Burke,CKB0427,38,38,36,43,37,38.4
Blaze Trevor Stone,BTS0011,25,42,16,25,29,27.4
Ingrid Irene Atkins,IIA0092,39,30,42,14,27,30.4
Wesley Kasper Duffy,WKD0013,42,36,40,27,34,35.8
Jaden Nicole Johnston,JNJ0556,43,45,22,33,34,35.4
Tarik Linus Hubbard,TLH0648,32,35,18,24,26,27.0
Iona Brenda Payne,IBP0883,30,25,15,11,17,19.6
William Aristotle Sampson,WAS0254,43,37,16,18,35,29.8
Quemby Nita Pollard,QNP0216,19,35,39,26,34,30.6
Katelyn Lani Murray,KLM0639,20,15,24,40,26,25.0
Ariel Ina Barrett,AIB0948,42,31,27,20,31,30.2
Raphael Benjamin Bryan,RBB0485,40,40,35,30,26,34.2
Robert Zeus Cox,RZC0746,15,38,33,43,26,31.0
Myles Donovan Macias,MDM0976,41,40,38,20,31,34.0
Xandra Briar Nielsen,XBN0229,34,16,17,40,29,27.2
Shaeleigh MacKenzie Harris,SMH0291,23,22,10,24,32,22.2
Mallory Charissa Dixon,MCD0125,36,26,50,22,23,31.4
Matthew Harper Glass,MHG0244,42,46,21,15,22,29.2
Robert Aristotle Stevenson,RAS0432,44,47,40,41,16,37.6
Emily Illana Perry,EIP0997,42,28,20,25,34,29.8
Elvis Marshall Walton,EMW0772,46,41,20,12,28,29.4
Sasha Britanney Quinn,SBQ0786,41,17,19,44,34,31.0
Phelan Dieter Hendricks,PDH0716,40,16,14,10,24,20.8
George Zachery Burch,GZB0469,46,39,22,45,28,36.0
Naomi Meredith Baxter,NMB0972,45,22,17,20,29,26.6
Octavia Nora Leblanc,ONL0276,48,46,17,41,20,34.4
Meghan Brianna Jensen,MBJ0312,22,45,49,12,26,30.8
Daphne Ruby Reilly,DRR0242,39,19,40,41,33,34.4
Aurora Jael Hopkins,AJH0175,19,19,16,33,37,24.8
Lester Quamar Pearson,LQP0508,26,44,21,40,27,31.6
Dante Vaughan Weber,DVW0103,40,45,44,21,29,35.8
Sierra Margaret Barker,SMB0804,38,10,19,36,33,27.2
Kylie Brielle Greer,KBG0549,16,19,37,10,32,22.8
Brianna Aretha Hopper,BAH0875,43,19,26,17,30,27.0
Shelby Lila Turner,SLT0907,16,15,43,27,27,25.6
Joseph Alan Vaughan,JAV0361,36,45,40,45,33,39.8
Claire Olivia Martin,COM0321,38,18,34,18,27,27.0
Chaim Chadwick Chang,CCC0393,35,30,40,16,26,29.4
Quintessa Shana Vance,QSV0778,17,23,36,35,33,28.8
Britanni Marah Cash,BMC0547,41,18,22,21,35,27.4
Akeem William Mayer,AWM0764,47,37,39,42,36,40.2
Felicia Xantha Farley,FXF0957,35,25,47,36,28,34.2
Sylvia Velma Sweet,SVS0871,23,15,34,28,33,26.6
Dexter Jamal Simon,DJS0682,22,23,36,13,30,24.8
Nigel Harrison Estrada,NHE0919,25,16,32,21,24,23.6
Meredith Pamela Tanner,MPT0376,19,37,41,48,35,36.0
Akeem Quamar Davenport,AQD0820,41,31,27,24,39,32.4
Yardley Ezra Vang,YEV0793,40,37,42,15,22,31.2
Zane Cadman Fields,ZCF0590,42,42,42,25,31,36.4
Kevyn Quin Charles,KQC0708,34,18,39,42,23,31.2
Lavinia Justine Richmond,LJR0523,32,21,11,33,25,24.4
Caldwell Quamar Head,CQH0701,35,50,39,50,32,41.2
Patricia Denise Wright,PDW0259,43,32,38,36,33,36.4
Fitzgerald Wayne Miranda,FWM0707,50,36,35,18,34,34.6
Hayes Drake Stephenson,HDS0367,50,42,16,30,19,31.4
Jeremy Rooney Henderson,JRH0455,19,21,42,20,34,27.2
Stephanie Eliana Rasmussen,SER0165,20,15,24,17,27,20.6
Sandra Beverly Diaz,SBD0913,45,16,19,19,42,28.2
Jerry Kennan Fischer,JKF0465,10,37,12,17,32,21.6
Carl Ferdinand Wong,CFW0264,19,32,17,20,27,23.0
Basia Nevada Riggs,BNR0965,47,19,15,20,22,24.6
Alice Sierra Valenzuela,ASV0946,35,12,46,17,26,27.2
Kasimir Nehru Galloway,KNG0672,21,40,18,20,27,25.2
Nola Nerea Ayala,NNA0610,21,35,18,43,26,28.6
Kane Quinlan Stevenson,KQS0415,35,42,13,14,34,27.6
Merrill Hiram Hess,MHH0180,19,41,35,10,29,26.8
Eric Gray Duncan,EGD0132,37,38,33,15,22,29.0
Vladimir Thomas Todd,VTT0385,14,26,17,36,28,24.2
Anastasia Sage Griffith,ASG0692,26,40,41,23,27,31.4
William Price Robles,WPR0368,48,34,40,17,31,34.0
Hu Akeem Vincent,HAV0121,46,43,38,37,27,38.2
Hayley Carolyn Cunningham,HCC0344,25,11,41,26,22,25.0
Ursa Britanney Frederick,UBF0645,34,20,34,23,31,28.4
Todd Scott Roth,TSR0676,43,40,26,19,33,32.2
Nathan Kenneth Hicks,NKH0979,30,39,42,22,35,33.6
Sigourney Xandra Maddox,SXM0895,14,18,15,33,25,21.0
Kenyon Chancellor Sharpe,KCS0173,39,20,50,20,30,31.8
Cyrus Connor Atkinson,CCA0046,36,43,25,15,28,29.4
Priscilla Martha Vinson,PMV0850,23,39,12,42,23,27.8
Preston Kennan Burns,PKB0281,39,12,44,26,25,29.2
Martin Ivan Cooper,MIC0726,32,41,43,17,23,31.2
Samson Denton Oconnor,SDO0170,35,47,22,45,26,35.0
Vincent Avram Aguirre,VAA0087,36,44,42,18,23,32.6
Emmanuel Lawrence Briggs,ELB0847,12,17,16,19,28,18.4
Sharon Britanni Kerr,SBK0161,14,27,23,41,39,28.8
Axel Seth Lewis,ASL0378,15,15,41,21,27,23.8
Tobias Lucas Morin,TLM0797,43,42,34,23,36,35.6
Steel Orson Fields,SOF0808,45,40,38,22,27,34.4
Sybill Grace Mckay,SGM0021,41,12,26,41,33,30.6
Mark Yardley Dunlap,MYD0978,39,32,36,13,32,30.4
Francis Brian Armstrong,FBA0348,41,44,40,36,27,37.6
August Ronan Lucas,ARL0034,41,39,27,21,26,30.8
Yoshio Joseph Farmer,YJF0532,40,35,23,47,26,34.2
Rogan Judah Mcintyre,RJM0381,41,47,44,41,25,39.6
Vernon Samuel Sawyer,VSS0154,43,49,10,40,30,34.4
Jonah Merritt Wilder,JMW0638,43,21,30,18,30,28.4
Ivor Kenneth Rollins,IKR0401,40,42,24,16,29,30.2
Eden Merrill Stokes,EMS0317,15,21,44,10,31,24.2
Finn Tucker Medina,FTM0406,31,15,38,16,34,26.8
Raphael Aristotle Ray,RAR0725,32,32,25,20,35,28.8
Medge Nichole Sims,MNS0224,46,21,22,45,30,32.8
Winter Veda Burks,WVB0539,43,16,18,42,31,30.0
Steel Solomon Garrison,SSG0250,35,40,20,36,25,31.2
Madison Lydia Morrison,MLM0950,24,20,29,23,36,26.4
Harper Price Harris,HPH0075,40,42,48,25,28,36.6
Veda Martina Jacobson,VMJ0546,20,37,29,39,26,30.2
Nevada Leilani Ortega,NLO0131,19,13,46,40,29,29.4
Patricia Emily Salazar,PES0085,35,24,18,30,22,25.8
Otto Hedley Chase,OHC0973,42,24,42,17,35,32.0
Noble Merrill Fuller,NMF0780,44,38,36,20,34,34.4
Leo Elmo Monroe,LEM0605,46,50,40,39,26,40.2
Bruce Eden Clemons,BEC0505,35,21,30,19,32,27.4
Oliver Logan Fowler,OLF0504,41,43,20,41,31,35.2
Kirestin Vanna Sykes,KVS0425,20,19,21,30,35,25.0
Arthur Jacob Raymond,AJR0319,40,13,37,16,24,26.0
Diana Lillian Solis,DLS0383,10,21,12,25,24,18.4
Bruno Carter Robles,BCR0581,20,11,34,36,30,26.2
Lani Dai Beard,LDB0090,40,14,39,41,34,33.6
Gwendolyn Amaya Ferrell,GAF0570,31,15,38,46,35,33.0
Noah Nathan Shaffer,NNS0059,42,23,48,23,25,32.2
Joy Rosalyn Leblanc,JRL0574,19,26,35,47,40,33.4
Natalie Sheila Santiago,NSS0876,26,20,25,42,31,28.8
Slade Orson Burch,SOB0586,45,35,23,24,30,31.4
Dane Davis Atkins,DDA0476,36,25,39,13,39,30.4
Dakota Edward Brady,DEB0782,42,47,32,21,36,35.6
Owen Len Wheeler,OLW0689,22,25,40,35,27,29.8
MacKensie Mara Grant,MMG0943,23,27,28,34,26,27.6
Reece Nicolas Lopez,RNL0695,47,41,44,19,36,37.4
Lacey Nomlanga Rasmussen,LNR0656,25,39,12,30,23,25.8
Albert Mohammad Joseph,AMJ0297,16,43,50,18,28,31.0
Hedwig Regina Livingston,HRL0540,43,38,17,40,18,31.2
Dean Lester Figueroa,DLF0377,39,35,19,27,34,30.8
Madonna Veronica Hardy,MVH0373,44,19,20,21,25,25.8
Tad Patrick Hardin,TPH0474,44,39,14,21,35,30.6
Kendall Ciaran Frank,KCF0045,40,39,16,27,31,30.6
Bryar Ivana Sweet,BIS0247,36,19,18,39,37,29.8
Mona Susan Shannon,MSS0001,21,44,24,45,19,30.6
Edward Finn Stokes,EFS0882,40,40,47,25,27,35.8
Noelani Wynter Kennedy,NWK0215,21,19,45,18,24,25.4
Philip Nathan Logan,PNL0301,50,43,30,43,31,39.4
Colin Stuart Holloway,CSH0626,33,17,41,18,23,26.4
Beau Hall Watts,BHW0458,36,32,28,30,29,31.0
Sonya Samantha Hahn,SSH0799,23,18,31,31,40,28.6
Astra Nicole Maldonado,ANM0123,22,15,16,21,26,20.0
Carla Amelia Shannon,CAS0507,14,46,33,11,25,25.8
Denise Ifeoma Doyle,DID0650,45,21,17,42,21,29.2
Kirby Amity Tyson,KAT0270,21,24,39,23,27,26.8
Tara Echo Myers,TEM0977,22,19,40,45,29,31.0
Salvador Herman Raymond,SHR0334,36,41,45,19,31,34.4
Jenna Darrel Charles,JDC0030,31,18,19,21,26,23.0
Colt Kendall Perez,CKP0721,40,39,39,13,32,32.6
Herman Ian Abbott,HIA0414,38,39,39,18,31,33.0
Hakeem Stephen Peck,HSP0290,38,15,28,20,27,25.6
Howard Raphael Weiss,HRW0550,38,34,24,22,28,29.2
Kaye Brianna Blair,KBB0189,49,23,16,33,30,30.2
Cain Byron Baldwin,CBB0365,37,17,20,41,33,29.6
Diana Leigh Hays,DLH0029,36,26,38,18,31,29.8
Nora Regina Oconnor,NRO0768,18,18,41,25,36,27.6
Nehru Wyatt Tate,NWT0098,35,39,26,36,33,33.8
Quincy Preston Moses,QPM0727,43,40,18,34,34,33.8
Kessie Vielka Trevino,KVT0028,44,20,35,19,37,31.0
Lamar Francis Scott,LFS0071,48,31,14,17,25,27.0
Wing Noah Bonner,WNB0908,38,38,38,22,23,31.8
Patience Audrey Douglas,PAD0773,36,21,14,16,38,25.0
Bert Jason Henderson,BJH0354,22,21,31,20,36,26.0
Oscar Nolan Wooten,ONW0083,46,30,25,30,26,31.4
Sarah Susan Jarvis,SSJ0784,19,39,12,45,34,29.8
Kyla Jocelyn Porter,KJP0371,36,21,25,15,30,25.4
Isabelle Maggie Benjamin,IMB0481,19,41,38,43,38,35.8
Britanney Quail Snyder,BQS0525,42,38,19,45,30,34.8
Beck Troy Richards,BTR0403,47,47,21,17,28,32.0
Declan Lester Moss,DLM0051,37,37,17,20,35,29.2
Addison Hiram Morrow,AHM0410,34,43,15,18,26,27.2
Carter Harrison Maldonado,CHM0821,48,11,39,19,23,28.0
Jocelyn Bree Mccray,JBM0350,37,21,12,45,25,28.0
Joseph Raja Gaines,JRG0207,42,37,40,21,27,33.4
Prescott Laith Harding,PLH0862,32,37,25,16,32,28.4
Reed Chaim Perkins,RCP0785,42,38,43,30,32,37.0
Neve Sarah Crane,NSC0597,19,13,11,44,31,23.6
Ayanna Vivian Murray,AVM0947,10,25,30,44,39,29.6
Molly Sacha Zimmerman,MSZ0310,24,38,18,31,29,28.0
Stewart Dale Berger,SDB0106,35,46,26,27,37,34.2
Hakeem Arden Curry,HAC0282,37,32,38,12,28,29.4
Hadley Sonya Bowen,HSB0196,44,13,43,30,33,32.6
Ayanna Sylvia Blankenship,ASB0796,30,40,23,38,34,33.0
Wynter Rose Mercer,WRM0963,17,23,43,31,22,27.2
Brianna Rebecca Mcintyre,BRM0995,20,11,32,26,40,25.8
Sebastian Elliott Sexton,SES0477,38,40,13,39,29,31.8
Jerry Tad Mccall,JTM0223,35,48,20,21,30,30.8
Ria Neve Flores,RNF0765,41,22,37,41,25,33.2
