employee_name,user,O,C,E,A,N,logon_count,logoff_count,after_hours_logon_count,after_hours_logoff_count,unique_pc_count,email_count,emails_with_attachments,total_attachments,total_email_size,unique_recipients,file_activity_count,unique_files,unique_file_pcs,http_request_count,unique_http_pc_count,unique_domain_count,device_activity_count,device_connect_count,device_disconnect_count,unique_device_pc_count
Martina Cassandra Fields,MCF0327,39,41,24,44,25,346,346,346,0,1,5031,0,0,149750606,2651,0.0,0.0,0.0,56052,1,199,0.0,0.0,0.0,0.0
Sylvester Guy Sanders,SGS0268,47,45,30,19,22,346,346,346,0,1,3026,310,650,91355351,1562,0.0,0.0,0.0,32870,1,140,0.0,0.0,0.0,0.0
Brian Nathaniel Greer,BNG0237,39,36,36,47,27,609,346,166,197,1,3008,1208,2404,89899120,1352,0.0,0.0,0.0,32870,1,74,0.0,0.0,0.0,0.0
Olympia Shafira Harrison,OSH0655,16,21,42,39,28,346,346,0,346,1,1014,220,414,30947867,633,0.0,0.0,0.0,10034,1,97,0.0,0.0,0.0,0.0
Catherine Savannah Bullock,CSB0080,35,19,39,34,36,346,346,160,0,1,3715,0,0,111535674,1721,0.0,0.0,0.0,39444,1,215,0.0,0.0,0.0,0.0
Ella Rachel Hess,ERH0449,44,15,35,17,25,346,346,166,183,1,332,0,0,9938723,256,0.0,0.0,0.0,3450,1,113,0.0,0.0,0.0,0.0
Eagan Gannon Koch,EGK0893,21,30,11,47,27,346,346,0,346,1,997,95,175,29686261,577,0.0,0.0,0.0,10034,1,99,0.0,0.0,0.0,0.0
Maggy Melissa Burt,MMB0488,21,18,16,24,27,310,310,0,0,1,4439,898,1538,132470867,2247,0.0,0.0,0.0,50220,1,100,0.0,0.0,0.0,0.0
Abel Adam Morton,AAM0658,43,35,37,36,22,229,229,5,229,1,659,275,613,19701156,432,31.0,31.0,1.0,6498,1,117,13.0,7.0,6.0,1.0
Eliana Stephanie Albert,ESA0642,32,14,44,30,32,346,346,0,346,1,1004,0,0,29836291,651,0.0,0.0,0.0,10034,1,175,0.0,0.0,0.0,0.0
Chandler Raymond Kirk,CRK0916,32,46,26,19,32,627,370,24,370,1,3363,358,695,100555076,1557,0.0,0.0,0.0,32870,1,175,0.0,0.0,0.0,0.0
Bruno Beau Hoover,BBH0810,40,25,10,21,32,346,346,0,346,1,3035,0,0,91979712,1435,0.0,0.0,0.0,32870,1,173,0.0,0.0,0.0,0.0
Jessica Rachel Freeman,JRF0835,44,33,18,37,18,346,346,0,346,1,339,75,168,10168606,263,0.0,0.0,0.0,3460,1,157,0.0,0.0,0.0,0.0
Sloane Jade Cochran,SJC0333,22,39,31,36,29,457,457,361,367,2,1011,415,798,30729509,719,0.0,0.0,0.0,10034,1,139,0.0,0.0,0.0,0.0
Halla Cathleen Simmons,HCS0003,35,28,14,15,30,346,346,0,0,1,9097,3659,7372,274810589,3738,3045.0,3045.0,1.0,98610,1,266,2006.0,1007.0,999.0,1.0
Edan Marsden Briggs,EMB0531,31,41,31,36,36,619,346,0,0,1,990,377,770,29570465,607,0.0,0.0,0.0,10034,1,122,0.0,0.0,0.0,0.0
Jane Ignacia Mcdonald,JIM0095,10,18,21,15,35,346,346,346,0,1,3677,401,764,111280131,1783,0.0,0.0,0.0,39444,1,166,0.0,0.0,0.0,0.0
Kay Janna Snider,KJS0618,19,15,20,10,37,346,346,158,0,1,5059,995,1963,152875382,2485,0.0,0.0,0.0,56052,1,152,0.0,0.0,0.0,0.0
Eaton Burton Crane,EBC0390,40,40,40,22,33,346,346,152,0,1,3018,0,0,90297471,1398,0.0,0.0,0.0,32870,1,102,0.0,0.0,0.0,0.0
Willa Giselle Stanton,WGS0516,11,20,39,20,29,346,346,0,0,1,1006,0,0,29705501,603,0.0,0.0,0.0,10034,1,147,0.0,0.0,0.0,0.0
Nissim Gil French,NGF0157,45,38,22,46,32,795,466,452,45,2,3540,1062,1746,105224331,1069,305.0,305.0,1.0,36450,1,196,284.0,143.0,141.0,1.0
Katell Amethyst Thornton,KAT0489,22,41,36,23,26,346,346,0,0,1,5023,2013,3321,151025120,2530,0.0,0.0,0.0,56052,1,116,0.0,0.0,0.0,0.0
Cora Clementine Higgins,CCH0685,47,24,42,34,29,638,369,1,347,2,3049,1236,2414,90603924,1597,0.0,0.0,0.0,32870,1,185,0.0,0.0,0.0,0.0
Doris Mona Michael,DMM0623,36,27,21,39,30,627,355,164,0,1,5217,2072,4034,156600502,2752,0.0,0.0,0.0,57510,1,172,0.0,0.0,0.0,0.0
Sylvia Ariana Head,SAH0599,13,22,44,18,22,346,346,0,346,1,334,75,169,9709708,257,0.0,0.0,0.0,3460,1,145,0.0,0.0,0.0,0.0
Connor Phelan Guerra,CPG0322,17,13,19,24,36,503,503,373,15,5,5012,1510,3127,149669166,2711,337.0,337.0,1.0,52938,1,130,258.0,129.0,129.0,1.0
Orson Barrett Houston,OBH0499,35,18,41,16,34,907,562,36,36,2,6229,1837,3589,187422557,3126,594.0,594.0,1.0,69822,1,189,7395.0,3706.0,3689.0,1.0
Sage Nichole Savage,SNS0129,26,10,43,35,30,346,346,346,0,1,3717,765,1582,111924269,1354,0.0,0.0,0.0,39444,1,159,0.0,0.0,0.0,0.0
Philip Keith Barron,PKB0429,34,42,43,40,22,346,346,157,0,1,3022,614,995,89401021,1507,0.0,0.0,0.0,32870,1,168,0.0,0.0,0.0,0.0
Nicole Aurelia Hanson,NAH0503,33,17,23,35,38,465,465,31,31,2,5750,1711,3334,171101997,2877,0.0,0.0,0.0,64152,1,258,0.0,0.0,0.0,0.0
Felicia Rhona Butler,FRB0023,45,14,12,14,14,346,346,346,0,1,3668,1470,2722,109764166,1188,0.0,0.0,0.0,39444,1,198,0.0,0.0,0.0,0.0
Amir Hayden Gray,AHG0634,31,36,42,41,27,294,171,3,161,2,463,146,251,14223024,368,0.0,0.0,0.0,4740,1,172,0.0,0.0,0.0,0.0
Chadwick Wayne Bond,CWB0065,50,33,14,20,23,731,457,364,12,2,2985,901,1451,88979182,1336,0.0,0.0,0.0,32775,1,214,0.0,0.0,0.0,0.0
Aurora Tatiana Payne,ATP0662,17,16,41,20,39,766,479,85,448,2,5103,2009,3819,152441115,2596,1273.0,1273.0,1.0,53339,1,198,784.0,394.0,390.0,1.0
Dalton Perry Mejia,DPM0423,37,38,38,15,27,457,457,174,208,2,3017,1201,2215,90557801,1612,1403.0,1403.0,1.0,32870,1,131,2131.0,1066.0,1065.0,1.0
Walter Kaseem Foley,WKF0012,37,44,20,45,23,346,346,346,10,1,6056,1211,2412,181661799,2565,0.0,0.0,0.0,65740,1,172,0.0,0.0,0.0,0.0
Jarrod Malik Burris,JMB0308,41,44,34,14,32,157,157,157,4,1,2203,452,831,66635242,1238,10.0,10.0,1.0,24789,1,118,16.0,8.0,8.0,1.0
Amity Kendall Foley,AKF0709,42,31,29,22,32,346,346,346,0,1,331,0,0,9711184,254,0.0,0.0,0.0,3460,1,143,0.0,0.0,0.0,0.0
Jermaine Mannix Hansen,JMH0543,44,25,37,13,34,404,228,116,132,1,2003,207,377,59628931,1063,0.0,0.0,0.0,21660,1,70,0.0,0.0,0.0,0.0
Camille Julie Freeman,CJF0802,36,39,38,43,21,679,421,55,55,2,3030,910,1738,91309795,1590,0.0,0.0,0.0,34600,1,128,0.0,0.0,0.0,0.0
Ignatius Reese Morton,IRM0931,44,46,33,35,30,1063,684,545,62,2,4157,1697,2780,124806322,1994,2278.0,2278.0,1.0,45315,1,192,1004.0,505.0,499.0,1.0
Fulton Quinn Avery,FQA0854,41,38,30,34,26,351,351,346,14,1,5005,1514,2514,150895699,2642,0.0,0.0,0.0,56052,1,193,0.0,0.0,0.0,0.0
Cecilia Yuri Ashley,CYA0506,16,17,44,14,31,105,105,0,0,1,301,0,0,9077071,222,0.0,0.0,0.0,3045,1,109,0.0,0.0,0.0,0.0
Gay Ria Cantu,GRC0145,30,43,24,46,27,346,346,0,0,1,3624,1465,2651,108439660,1019,0.0,0.0,0.0,39444,1,173,0.0,0.0,0.0,0.0
Benjamin Lewis Sweeney,BLS0678,35,17,43,28,31,366,205,97,4,1,1729,708,1169,51470462,867,5.0,5.0,1.0,19097,1,198,8.0,4.0,4.0,1.0
Harlan Jason Benjamin,HJB0742,41,40,16,21,30,446,263,127,5,2,3494,1090,1754,103995343,1842,5.0,5.0,1.0,40972,1,148,12.0,6.0,6.0,1.0
Kimberley Kiona Sosa,KKS0119,15,28,39,33,27,615,346,346,0,1,4684,1913,3436,139335732,1699,0.0,0.0,0.0,49478,1,271,0.0,0.0,0.0,0.0
Raymond Arsenio Blackwell,RAB0589,36,35,26,14,31,432,275,8,206,5,191,67,124,5670343,172,2.0,2.0,1.0,1766,1,45,8.0,4.0,4.0,1.0
Demetrius Barry Bullock,DBB0384,40,41,28,37,27,346,346,174,0,1,3001,301,648,91157229,1429,8543.0,8543.0,1.0,32870,1,130,5932.0,2976.0,2956.0,1.0
Teagan Raven Kennedy,TRK0914,40,19,14,33,30,345,346,0,346,1,3002,623,1139,90112306,1414,0.0,0.0,0.0,32870,1,78,0.0,0.0,0.0,0.0
Blossom Scarlett Aguirre,BSA0431,50,41,19,40,29,346,346,161,0,1,3044,299,618,91275813,1502,0.0,0.0,0.0,32870,1,212,0.0,0.0,0.0,0.0
Rachel Hermione Le,RHL0992,36,10,39,37,36,321,183,3,179,3,1575,479,926,47013802,697,370.0,370.0,1.0,16859,1,129,735.0,370.0,365.0,1.0
Caldwell Ian Maxwell,CIM0926,31,25,41,17,31,230,230,1,230,1,2004,182,381,59827918,1016,0.0,0.0,0.0,21755,1,128,0.0,0.0,0.0,0.0
Cassidy Florence Gibbs,CFG0959,42,21,24,17,20,437,437,361,11,2,338,136,254,10301824,260,0.0,0.0,0.0,3460,1,40,0.0,0.0,0.0,0.0
Vera Mollie Jenkins,VMJ0147,23,28,37,22,24,346,346,0,346,1,4711,1846,3880,142275784,1640,0.0,0.0,0.0,49478,1,159,0.0,0.0,0.0,0.0
Sawyer Abel Turner,SAT0194,14,19,36,23,35,346,346,0,346,1,3649,747,1248,108514730,1156,0.0,0.0,0.0,39444,1,225,0.0,0.0,0.0,0.0
Harper Basil Obrien,HBO0413,41,35,18,15,18,323,323,160,187,1,2840,0,0,84503613,1459,691.0,691.0,1.0,30812,1,251,1408.0,709.0,699.0,1.0
Declan Zachery Caldwell,DZC0228,37,37,34,21,38,346,346,147,346,1,3032,309,670,91024458,1393,0.0,0.0,0.0,32870,1,168,0.0,0.0,0.0,0.0
Theodore Eagan Bass,TEB0251,44,50,22,13,36,636,368,148,0,2,3029,902,1565,90671634,1521,0.0,0.0,0.0,32870,1,149,0.0,0.0,0.0,0.0
Maryam Nelle Ruiz,MNR0829,41,33,40,15,23,346,346,0,346,1,331,80,135,9797995,265,0.0,0.0,0.0,3460,1,137,0.0,0.0,0.0,0.0
Daryl Ocean Patel,DOP0562,42,16,37,39,31,346,346,0,183,1,2986,613,1036,90695902,1387,0.0,0.0,0.0,32870,1,178,0.0,0.0,0.0,0.0
Uriel Axel Diaz,UAD0771,46,34,15,30,31,647,367,0,0,2,996,309,540,29376670,677,1873.0,1873.0,1.0,10034,1,153,1384.0,696.0,688.0,1.0
Ayanna Leandra Dunlap,ALD0544,16,18,18,13,32,346,346,168,185,1,2971,1183,2087,89347418,1316,0.0,0.0,0.0,32775,1,133,0.0,0.0,0.0,0.0
Lysandra Chastity Brennan,LCB0664,16,19,36,24,32,682,417,168,0,2,4697,1424,2383,140933199,2544,414.0,414.0,1.0,46710,1,121,5938.0,2977.0,2961.0,1.0
Hyacinth Clare Lindsay,HCL0113,43,22,40,39,34,346,346,0,346,1,3039,602,1007,91914339,1589,0.0,0.0,0.0,32870,1,156,0.0,0.0,0.0,0.0
Tamara Shaeleigh Best,TSB0437,26,23,16,30,26,346,346,163,0,1,1020,110,234,30339212,576,0.0,0.0,0.0,10034,1,123,0.0,0.0,0.0,0.0
Elton Zeus Horton,EZH0736,44,41,37,19,31,346,346,160,0,1,4974,525,1030,148727901,2468,0.0,0.0,0.0,56052,1,111,0.0,0.0,0.0,0.0
Josiah Chester Gray,JCG0316,47,36,32,25,33,734,469,361,7,2,4986,1491,2962,149330847,2649,2161.0,2161.0,1.0,56052,1,209,1387.0,697.0,690.0,1.0
Malcolm Sebastian Garrison,MSG0839,42,46,19,39,29,346,346,0,346,1,335,41,77,9888221,249,0.0,0.0,0.0,3450,1,137,0.0,0.0,0.0,0.0
Lionel Jasper Johnston,LJJ0905,43,36,12,22,30,366,366,0,346,2,1026,399,688,30655021,624,0.0,0.0,0.0,10005,1,109,0.0,0.0,0.0,0.0
Hall Colorado Morin,HCM0267,36,45,39,20,32,346,346,346,0,1,3021,897,1748,90588564,1256,8167.0,8167.0,1.0,31140,1,117,5955.0,2984.0,2971.0,1.0
Malachi Thor Butler,MTB0620,38,44,41,50,28,626,346,158,0,1,5042,2043,3628,150839303,2671,1971.0,1971.0,1.0,56052,1,175,2004.0,1005.0,999.0,1.0
Clayton Clark Humphrey,CCH0182,42,44,47,23,29,346,346,346,346,1,1012,400,694,30488691,652,0.0,0.0,0.0,10034,1,107,0.0,0.0,0.0,0.0
Cole Aaron Mcfarland,CAM0681,41,43,45,10,28,613,346,0,346,1,3033,907,1521,91207420,1521,759.0,759.0,1.0,34600,1,149,717.0,360.0,357.0,1.0
Lyle Brady Hayes,LBH0942,40,42,23,30,29,819,453,453,0,1,3918,411,793,117687945,1750,10889.0,10889.0,1.0,43035,1,135,7785.0,3903.0,3882.0,1.0
Cedric Alexander Bowers,CAB0388,37,33,23,40,36,610,346,165,0,1,2946,1142,1908,87560945,1442,0.0,0.0,0.0,32775,1,129,0.0,0.0,0.0,0.0
William Graham Rowe,WGR0833,38,46,24,38,42,346,346,0,346,1,339,0,0,9922153,263,0.0,0.0,0.0,3460,1,86,0.0,0.0,0.0,0.0
Mohammad Taylor Terrell,MTT0901,41,34,30,40,30,49,29,0,29,1,82,41,86,2431781,97,187.0,187.0,1.0,841,1,57,180.0,90.0,90.0,1.0
Gisela Quintessa Fischer,GQF0659,40,16,30,29,28,346,346,0,346,1,1002,110,202,30250808,650,0.0,0.0,0.0,10034,1,119,0.0,0.0,0.0,0.0
Callum Scott Parrish,CSP0197,37,44,17,13,26,743,465,2,351,2,3676,1136,2139,110484077,1260,0.0,0.0,0.0,39444,1,180,0.0,0.0,0.0,0.0
Octavia May Maddox,OMM0944,17,14,27,21,29,346,346,346,0,1,336,0,0,10435537,259,0.0,0.0,0.0,3460,1,144,0.0,0.0,0.0,0.0
Irma Melanie Patrick,IMP0530,40,17,42,50,32,346,346,0,0,1,1008,193,367,30515429,609,0.0,0.0,0.0,10034,1,117,0.0,0.0,0.0,0.0
Owen Ross Burks,ORB0473,38,44,46,38,38,346,346,164,235,1,333,132,228,10061357,247,0.0,0.0,0.0,3460,1,108,0.0,0.0,0.0,0.0
Jenette McKenzie Lynn,JML0909,24,32,39,40,21,621,346,0,346,1,1010,425,811,30246610,621,0.0,0.0,0.0,10034,1,144,0.0,0.0,0.0,0.0
Noble Devin Mack,NDM0417,44,36,50,12,34,720,441,170,202,2,3044,1211,2413,92034407,1728,1284.0,1284.0,1.0,32870,1,187,1379.0,692.0,687.0,1.0
Ferdinand Rashad Lee,FRL0511,20,30,47,20,30,346,346,0,0,1,1004,407,864,29673038,606,0.0,0.0,0.0,10005,1,72,0.0,0.0,0.0,0.0
Lynn Adena Pratt,LAP0338,42,23,33,45,31,874,488,488,488,1,1420,132,279,42874646,874,0.0,0.0,0.0,14123,1,131,0.0,0.0,0.0,0.0
Harper Clark Vazquez,HCV0478,46,36,18,12,24,611,346,0,0,1,5036,1542,2760,150365437,2571,0.0,0.0,0.0,56052,1,174,0.0,0.0,0.0,0.0
Kimberley Joy Anderson,KJA0152,16,16,39,38,34,346,346,0,346,1,3687,0,0,111045457,1030,0.0,0.0,0.0,39444,1,184,0.0,0.0,0.0,0.0
Erasmus Cameron Franco,ECF0828,40,49,39,40,35,211,211,0,211,1,207,0,0,6383120,178,0.0,0.0,0.0,2110,1,95,0.0,0.0,0.0,0.0
Buffy Vivien Nichols,BVN0514,36,23,30,23,22,118,118,0,0,2,327,43,72,9792134,243,0.0,0.0,0.0,3190,1,71,0.0,0.0,0.0,0.0
Bruno Stewart Silva,BSS0463,32,40,40,38,28,364,364,163,216,2,335,132,326,10269150,258,0.0,0.0,0.0,3460,1,110,0.0,0.0,0.0,0.0
Jonathan John Martinez,JJM0203,37,36,18,30,28,424,262,223,11,2,1876,722,1340,55947307,657,425.0,425.0,1.0,20181,1,160,854.0,428.0,426.0,1.0
Adam Ishmael Mcdaniel,AIM0627,36,39,16,41,23,346,346,150,0,1,5009,0,0,150189455,2496,0.0,0.0,0.0,55890,1,194,0.0,0.0,0.0,0.0
Rashad August Hatfield,RAH0440,18,15,43,16,24,346,346,156,0,1,3024,0,0,90589941,1487,0.0,0.0,0.0,32870,1,126,0.0,0.0,0.0,0.0
Xenos Hayden Gallegos,XHG0902,44,35,23,47,14,346,346,0,346,1,1013,232,491,30653431,636,0.0,0.0,0.0,10034,1,139,0.0,0.0,0.0,0.0
Tobias Dakota Jacobs,TDJ0998,34,40,10,42,36,622,346,0,346,1,3013,626,1046,89711047,1240,0.0,0.0,0.0,32870,1,120,0.0,0.0,0.0,0.0
John Price Atkins,JPA0667,49,42,34,35,27,346,346,172,0,1,2980,1193,2048,89571614,1401,0.0,0.0,0.0,32870,1,176,0.0,0.0,0.0,0.0
Elaine Hanna Raymond,EHR0096,22,13,20,48,31,346,346,346,0,1,3019,0,0,90378333,1546,0.0,0.0,0.0,32870,1,157,0.0,0.0,0.0,0.0
Sharon Jemima Whitehead,SJW0451,43,30,16,50,28,346,346,174,192,1,339,0,0,9977542,268,0.0,0.0,0.0,3460,1,115,0.0,0.0,0.0,0.0
Colton Nathan Barber,CNB0900,34,43,38,16,27,346,346,0,346,1,1007,0,0,30635711,649,0.0,0.0,0.0,10005,1,98,0.0,0.0,0.0,0.0
Ethan Arden Hays,EAH0466,41,38,29,38,25,65,39,16,21,3,34,12,19,1089599,46,358.0,358.0,1.0,350,1,64,30.0,15.0,15.0,1.0
Curran Tarik Ayala,CTA0020,36,50,11,22,34,639,371,160,346,2,3640,1085,2135,109048871,1663,606.0,606.0,1.0,37368,1,171,5942.0,2977.0,2965.0,1.0
Sandra Roary Solomon,SRS0231,17,44,36,32,26,346,346,171,346,1,3024,314,621,89475122,1417,0.0,0.0,0.0,32870,1,168,0.0,0.0,0.0,0.0
Hadley Willa Hill,HWH0646,17,24,24,21,28,629,346,0,346,1,1014,405,804,30324626,638,0.0,0.0,0.0,10034,1,98,0.0,0.0,0.0,0.0
Halee Kim Burnett,HKB0418,50,18,13,26,27,332,332,148,173,1,2922,0,0,88309959,1480,0.0,0.0,0.0,31540,1,128,0.0,0.0,0.0,0.0
Chanda Celeste Mosley,CCM0855,31,24,19,36,29,346,346,346,12,1,5114,510,877,153750588,2585,0.0,0.0,0.0,56052,1,213,0.0,0.0,0.0,0.0
Shelley Eleanor Dawson,SED0886,22,18,18,35,28,718,454,29,374,2,1014,325,596,29983372,695,0.0,0.0,0.0,10034,1,100,0.0,0.0,0.0,0.0
Logan Branden Cherry,LBC0356,40,30,40,21,41,1662,1391,889,891,103,3696,1521,2586,111869030,1922,0.0,0.0,0.0,39444,1,247,0.0,0.0,0.0,0.0
Chloe Keiko Holland,CKH0144,34,22,22,35,30,346,346,346,0,1,3015,1188,2052,90461296,914,0.0,0.0,0.0,32775,1,121,0.0,0.0,0.0,0.0
Melvin Brody Garza,MBG0438,38,17,37,16,29,235,235,118,0,1,2009,414,844,60759257,1076,0.0,0.0,0.0,22325,1,143,0.0,0.0,0.0,0.0
Mohammad Vladimir Farrell,MVF0594,35,38,33,44,36,346,346,0,346,1,335,0,0,10200796,251,0.0,0.0,0.0,3460,1,205,0.0,0.0,0.0,0.0
Alea Tana Ferrell,ATF0274,20,45,48,27,28,346,346,346,0,1,3019,922,1862,89408102,1555,0.0,0.0,0.0,32870,1,197,0.0,0.0,0.0,0.0
Kendall Thaddeus Glover,KTG0091,46,41,16,15,29,346,346,346,0,1,2992,595,1022,89553903,1143,0.0,0.0,0.0,32870,1,205,0.0,0.0,0.0,0.0
Alfonso Colin Cooley,ACC0042,23,19,37,20,31,1362,1362,1219,872,110,3676,1113,2158,110360033,1638,0.0,0.0,0.0,39336,1,182,0.0,0.0,0.0,0.0
Arsenio Kato Wilder,AKW0167,38,38,20,14,35,346,346,346,0,1,3685,376,792,110897062,1967,0.0,0.0,0.0,39444,1,169,0.0,0.0,0.0,0.0
Kirk Palmer Rosales,KPR0497,50,43,43,20,29,739,461,0,0,2,5028,2023,3714,149810549,2526,0.0,0.0,0.0,56052,1,184,0.0,0.0,0.0,0.0
Amaya Britanni Newton,ABN0239,21,37,20,39,25,613,346,159,207,1,3023,602,1206,90733985,1381,0.0,0.0,0.0,32870,1,175,0.0,0.0,0.0,0.0
Colton Kaseem Bolton,CKB0482,36,48,37,46,25,346,346,0,0,1,5036,0,0,151565398,2574,0.0,0.0,0.0,56052,1,238,0.0,0.0,0.0,0.0
Alfreda Morgan Holloway,AMH0464,45,16,42,37,21,346,346,169,175,1,337,67,127,9914240,251,0.0,0.0,0.0,3460,1,85,0.0,0.0,0.0,0.0
Quinn Coby Hays,QCH0110,34,35,17,37,27,305,305,0,305,1,884,0,0,26814816,530,0.0,0.0,0.0,8845,1,129,0.0,0.0,0.0,0.0
Sara Gail George,SGG0787,14,27,10,20,31,602,346,0,346,1,4651,1827,3635,139239586,2302,0.0,0.0,0.0,49478,1,162,0.0,0.0,0.0,0.0
Sarah Imelda Juarez,SIJ0661,40,17,14,15,21,346,346,154,0,1,4681,442,817,142432139,2302,0.0,0.0,0.0,49335,1,175,0.0,0.0,0.0,0.0
Byron Tyrone Williamson,BTW0005,33,39,18,18,27,466,466,354,6,2,8950,3593,5972,268955836,3275,0.0,0.0,0.0,98610,1,250,0.0,0.0,0.0,0.0
Risa Laura Bolton,RLB0719,14,18,15,40,35,364,364,364,18,1,331,109,249,9996407,293,0.0,0.0,0.0,3460,1,98,0.0,0.0,0.0,0.0
William Damian Oconnor,WDO0870,23,21,14,13,25,438,438,421,89,4,4628,474,891,139146262,2461,0.0,0.0,0.0,58820,1,221,0.0,0.0,0.0,0.0
Kaden Chastity Briggs,KCB0815,16,40,18,36,31,625,346,0,346,1,3061,331,599,91339138,1438,0.0,0.0,0.0,32870,1,167,0.0,0.0,0.0,0.0
Vincent Calvin Young,VCY0751,37,24,39,19,25,620,346,174,0,1,5021,2010,3920,150427573,2533,0.0,0.0,0.0,56052,1,100,0.0,0.0,0.0,0.0
Brock Aladdin Joyce,BAJ0654,36,10,47,10,41,388,388,34,381,7,986,290,517,29504398,638,2919.0,2919.0,1.0,10034,1,63,279.0,140.0,139.0,1.0
Madonna Kristen Love,MKL0941,16,26,20,38,30,346,346,346,0,1,2973,0,0,88769568,1375,0.0,0.0,0.0,32870,1,147,0.0,0.0,0.0,0.0
Elijah Gary Diaz,EGD0409,39,40,22,35,33,248,140,64,80,1,1239,372,623,37569746,712,0.0,0.0,0.0,13300,1,101,0.0,0.0,0.0,0.0
Dale Benjamin Sharpe,DBS0235,30,38,18,37,33,374,374,173,357,4,3034,319,657,90842454,1427,0.0,0.0,0.0,32870,1,257,0.0,0.0,0.0,0.0
Jael Jennifer Hansen,JJH0613,50,30,24,14,26,711,436,171,2,2,5027,1978,3321,151369972,2538,1641.0,1641.0,1.0,56052,1,168,2095.0,1049.0,1046.0,1.0
Ulric Ferdinand Knapp,UFK0208,18,34,22,23,30,704,436,354,7,2,4709,911,1848,142193494,2139,0.0,0.0,0.0,49478,1,192,0.0,0.0,0.0,0.0
Brent Laith Beck,BLB0114,38,48,41,15,22,696,413,3,352,2,3016,1242,2694,90663767,1593,0.0,0.0,0.0,31140,1,154,0.0,0.0,0.0,0.0
Cheyenne Kay Dickerson,CKD0680,18,50,24,18,28,346,346,159,0,1,3045,596,1246,90300086,1420,0.0,0.0,0.0,32870,1,161,0.0,0.0,0.0,0.0
Myra Kay Greer,MKG0711,17,26,43,32,38,346,346,346,0,1,337,0,0,10355828,267,0.0,0.0,0.0,3460,1,138,0.0,0.0,0.0,0.0
Edward Dean Anthony,EDA0684,38,42,40,39,33,44,44,6,40,2,304,100,234,9343504,221,0.0,0.0,0.0,3325,1,120,0.0,0.0,0.0,0.0
Illana Isabelle Lamb,IIL0513,37,13,26,38,34,439,439,0,0,1,1329,133,232,39961279,802,0.0,0.0,0.0,13170,1,191,0.0,0.0,0.0,0.0
TaShya Savannah Mcgowan,TSM0363,34,19,20,39,33,1397,1397,905,909,105,3629,752,1469,108706590,1700,0.0,0.0,0.0,39400,1,125,0.0,0.0,0.0,0.0
Price Bevis Pittman,PBP0002,49,35,23,10,27,346,346,151,0,1,3629,0,0,108823200,1347,0.0,0.0,0.0,39330,1,104,0.0,0.0,0.0,0.0
Louis Hyatt Bruce,LHB0606,37,38,15,27,27,82,82,40,0,1,1161,235,514,34617779,690,0.0,0.0,0.0,13284,1,197,0.0,0.0,0.0,0.0
Guy Tad Daniel,GTD0898,23,23,39,15,29,346,346,0,346,1,1003,0,0,30236750,628,0.0,0.0,0.0,10034,1,143,0.0,0.0,0.0,0.0
Calvin Jarrod Hood,CJH0702,46,24,30,25,37,346,346,346,0,1,337,0,0,10378356,254,0.0,0.0,0.0,3460,1,73,0.0,0.0,0.0,0.0
Desirae Mari Koch,DMK0257,33,20,26,26,30,715,445,421,74,2,3008,1175,2162,90266204,1478,1499.0,1499.0,1.0,32870,1,99,1371.0,689.0,682.0,1.0
Willow Iliana Quinn,WIQ0567,25,41,10,47,39,798,442,0,276,1,3876,1554,2824,114997661,1877,1955.0,1955.0,1.0,41990,1,144,867.0,437.0,430.0,1.0
Peter Tad Hartman,PTH0830,43,44,42,43,34,425,425,0,425,1,411,43,83,12251946,306,0.0,0.0,0.0,4250,1,108,0.0,0.0,0.0,0.0
Nicholas Cade Owen,NCO0666,40,45,10,12,31,622,350,157,0,1,3028,906,1865,90571361,1438,0.0,0.0,0.0,32870,1,172,0.0,0.0,0.0,0.0
Maxwell Hammett Green,MHG0733,43,30,24,42,29,346,346,154,0,1,4973,0,0,148534726,2543,0.0,0.0,0.0,56052,1,148,0.0,0.0,0.0,0.0
Robert Ali Webb,RAW0915,43,50,21,43,24,762,441,16,421,4,3490,1060,2019,105003831,1725,459.0,459.0,1.0,40300,1,235,872.0,438.0,434.0,1.0
Hillary Ainsley Mccormick,HAM0985,20,17,29,16,20,346,346,346,11,1,3050,624,1297,90998998,1210,0.0,0.0,0.0,32870,1,191,0.0,0.0,0.0,0.0
Serina Ariana Butler,SAB0781,36,35,24,30,28,622,346,0,0,1,1003,398,874,29360319,638,1441.0,1441.0,1.0,10005,1,83,733.0,369.0,364.0,1.0
Ira Benjamin Mays,IBM0671,50,46,38,35,31,619,360,170,0,2,3342,1019,1928,100485769,1645,802.0,802.0,1.0,32775,1,198,287.0,145.0,142.0,1.0
Yasir Dexter Nelson,YDN0198,45,50,41,11,24,622,354,347,1,2,3693,1102,1799,109962063,1030,0.0,0.0,0.0,39444,1,87,0.0,0.0,0.0,0.0
Grace Alma Fry,GAF0060,41,16,39,25,22,346,346,157,346,1,3031,1207,2458,90815768,1436,0.0,0.0,0.0,32870,1,115,0.0,0.0,0.0,0.0
Alec Mannix Mcneil,AMM0014,48,38,15,44,36,346,346,346,346,1,6029,0,0,181524319,2290,0.0,0.0,0.0,65740,1,239,0.0,0.0,0.0,0.0
Aquila Mark Vega,AMV0036,43,36,42,37,26,346,346,346,0,1,4711,0,0,140429611,2089,0.0,0.0,0.0,49478,1,232,0.0,0.0,0.0,0.0
